Group,PrivateCreator,Elem,Name,Action
0008,,103E,SeriesDescription,@contents(SeriesDescription,"((ADC) \\(.*)|((eADC)\\:.*)|(.*)","$2$4$5")
0010,,0010,PatientName,@hashptid(@SITEID,PatientID,10)
0010,,0020,PatientID,@hashptid(@SITEID,PatientID,10)
0010,,0030,PatientBirthDate,@empty()
0010,,0040,PatientSex,@keep()
0010,,1010,PatientAge,@keep()
0010,,1020,PatientSize,@keep()
0010,,1030,PatientWeight,@keep()
0012,,0062,PatientIdentityRemoved,@always()YES
0018,,0010,ContrastBolusAgent,@keep()
0018,,0012,ContrastBolusAgentSequence,@keep()
0018,,0013,ContrastBolusT1Relaxivity,@keep()
0018,,0014,ContrastBolusAdministrationRouteSequence,@keep()
0018,,0015,BodyPartExamined,@keep()
0018,,0020,ScanningSequence,@keep()
0018,,0021,SequenceVariant,@keep()
0018,,0022,ScanOptions,@keep()
0018,,0023,MRAcquisitionType,@keep()
0018,,0024,SequenceName,@keep()
0018,,0025,AngioFlag,@keep()
0018,,0040,CineRate,@keep()
0018,,0042,InitialCineRunState,@keep()
0018,,0050,SliceThickness,@keep()
0018,,0080,RepetitionTime,@keep()
0018,,0081,EchoTime,@keep()
0018,,0082,InversionTime,@keep()
0018,,0083,NumberOfAverages,@keep()
0018,,0084,ImagingFrequency,@keep()
0018,,0085,ImagedNucleus,@keep()
0018,,0086,EchoNumbers,@keep()
0018,,0087,MagneticFieldStrength,@keep()
0018,,0088,SpacingBetweenSlices,@keep()
0018,,0089,NumberOfPhaseEncodingSteps,@keep()
0018,,0091,EchoTrainLength,@keep()
0018,,0093,PercentSampling,@keep()
0018,,0094,PercentPhaseFieldOfView,@keep()
0018,,0095,PixelBandwidth,@keep()
0018,,1000,DeviceSerialNumber,@keep()
0018,,1002,DeviceUID,@hashuid(@UIDROOT,this)
0018,,1020,SoftwareVersions,@keep()
0018,,1030,ProtocolName,@keep()
0018,,1040,ContrastBolusRoute,@keep()
0018,,1041,ContrastBolusVolume,@keep()
0018,,1042,ContrastBolusStartTime,@keep()
0018,,1043,ContrastBolusStopTime,@keep()
0018,,1044,ContrastBolusTotalDose,@keep()
0018,,1046,ContrastFlowRate,@keep()
0018,,1047,ContrastFlowDuration,@keep()
0018,,1048,ContrastBolusIngredient,@keep()
0018,,1049,ContrastBolusIngredientConcentration,@keep()
0018,,1050,SpatialResolution,@keep()
0018,,1060,TriggerTime,@keep()
0018,,1061,TriggerSourceOrType,@keep()
0018,,1062,NominalInterval,@keep()
0018,,1063,FrameTime,@keep()
0018,,1064,CardiacFramingType,@keep()
0018,,1065,FrameTimeVector,@keep()
0018,,1066,FrameDelay,@keep()
0018,,1067,ImageTriggerDelay,@keep()
0018,,1068,MultiplexGroupTimeOffset,@keep()
0018,,1069,TriggerTimeOffset,@keep()
0018,,1080,BeatRejectionFlag,@keep()
0018,,1081,LowRRValue,@keep()
0018,,1082,HighRRValue,@keep()
0018,,1083,IntervalsAcquired,@keep()
0018,,1084,IntervalsRejected,@keep()
0018,,1085,PVCRejection,@keep()
0018,,1086,SkipBeats,@keep()
0018,,1088,HeartRate,@keep()
0018,,1090,CardiacNumberOfImages,@keep()
0018,,1094,TriggerWindow,@keep()
0018,,1250,ReceiveCoilName,@keep()
0018,,1251,TransmitCoilName,@keep()
0018,,1310,AcquisitionMatrix,@keep()
0018,,1312,InPlanePhaseEncodingDirection,@keep()
0018,,1314,FlipAngle,@keep()
0018,,1315,VariableFlipAngleFlag,@keep()
0018,,1316,SAR,@keep()
0018,,1318,dBdt,@keep()
0018,,1320,B1rms,@keep()
0018,,5100,PatientPosition,@keep()
0018,,9004,ContentQualification,@keep()
0018,,9005,PulseSequenceName,@keep()
0018,,9006,MRImagingModifierSequence,@keep()
0018,,9008,EchoPulseSequence,@keep()
0018,,9009,InversionRecovery,@keep()
0018,,9010,FlowCompensation,@keep()
0018,,9011,MultipleSpinEcho,@keep()
0018,,9012,MultiPlanarExcitation,@keep()
0018,,9014,PhaseContrast,@keep()
0018,,9015,TimeOfFlightContrast,@keep()
0018,,9016,Spoiling,@keep()
0018,,9017,SteadyStatePulseSequence,@keep()
0018,,9018,EchoPlanarPulseSequence,@keep()
0018,,9019,TagAngleFirstAxis,@keep()
0018,,9020,MagnetizationTransfer,@keep()
0018,,9021,T2Preparation,@keep()
0018,,9022,BloodSignalNulling,@keep()
0018,,9024,SaturationRecovery,@keep()
0018,,9025,SpectrallySelectedSuppression,@keep()
0018,,9026,SpectrallySelectedExcitation,@keep()
0018,,9027,SpatialPresaturation,@keep()
0018,,9028,Tagging,@keep()
0018,,9029,OversamplingPhase,@keep()
0018,,9030,TagSpacingFirstDimension,@keep()
0018,,9032,GeometryOfKSpaceTraversal,@keep()
0018,,9033,SegmentedKSpaceTraversal,@keep()
0018,,9034,RectilinearPhaseEncodeReordering,@keep()
0018,,9035,TagThickness,@keep()
0018,,9036,PartialFourierDirection,@keep()
0018,,9037,CardiacSynchronizationTechnique,@keep()
0018,,9041,ReceiveCoilManufacturerName,@keep()
0018,,9042,MRReceiveCoilSequence,@keep()
0018,,9043,ReceiveCoilType,@keep()
0018,,9044,QuadratureReceiveCoil,@keep()
0018,,9045,MultiCoilDefinitionSequence,@keep()
0018,,9046,MultiCoilConfiguration,@keep()
0018,,9047,MultiCoilElementName,@keep()
0018,,9048,MultiCoilElementUsed,@keep()
0018,,9049,MRTransmitCoilSequence,@keep()
0018,,9050,TransmitCoilManufacturerName,@keep()
0018,,9051,TransmitCoilType,@keep()
0018,,9052,SpectralWidth,@keep()
0018,,9053,ChemicalShiftReference,@keep()
0018,,9054,VolumeLocalizationTechnique,@keep()
0018,,9058,MRAcquisitionFrequencyEncodingSteps,@keep()
0018,,9059,Decoupling,@keep()
0018,,9060,DecoupledNucleus,@keep()
0018,,9061,DecouplingFrequency,@keep()
0018,,9062,DecouplingMethod,@keep()
0018,,9063,DecouplingChemicalShiftReference,@keep()
0018,,9064,KSpaceFiltering,@keep()
0018,,9065,TimeDomainFiltering,@keep()
0018,,9066,NumberOfZeroFills,@keep()
0018,,9067,BaselineCorrection,@keep()
0018,,9069,ParallelReductionFactorInPlane,@keep()
0018,,9070,CardiacRRIntervalSpecified,@keep()
0018,,9073,AcquisitionDuration,@keep()
0018,,9074,FrameAcquisitionDateTime,@hashdate(this,root:PatientID)
0018,,9075,DiffusionDirectionality,@keep()
0018,,9076,DiffusionGradientDirectionSequence,@keep()
0018,,9077,ParallelAcquisition,@keep()
0018,,9078,ParallelAcquisitionTechnique,@keep()
0018,,9079,InversionTimes,@keep()
0018,,9080,MetaboliteMapDescription,@keep()
0018,,9081,PartialFourier,@keep()
0018,,9082,EffectiveEchoTime,@keep()
0018,,9083,MetaboliteMapCodeSequence,@keep()
0018,,9084,ChemicalShiftSequence,@keep()
0018,,9085,CardiacSignalSource,@keep()
0018,,9087,DiffusionBValue,@keep()
0018,,9089,DiffusionGradientOrientation,@keep()
0018,,9090,VelocityEncodingDirection,@keep()
0018,,9091,VelocityEncodingMinimumValue,@keep()
0018,,9092,VelocityEncodingAcquisitionSequence,@keep()
0018,,9093,NumberOfKSpaceTrajectories,@keep()
0018,,9094,CoverageOfKSpace,@keep()
0018,,9095,SpectroscopyAcquisitionPhaseRows,@keep()
0018,,9098,TransmitterFrequency,@keep()
0018,,9100,ResonantNucleus,@keep()
0018,,9101,FrequencyCorrection,@keep()
0018,,9103,MRSpectroscopyFOVGeometrySequence,@keep()
0018,,9104,SlabThickness,@keep()
0018,,9105,SlabOrientation,@keep()
0018,,9106,MidSlabPosition,@keep()
0018,,9107,MRSpatialSaturationSequence,@keep()
0018,,9112,MRTimingAndRelatedParametersSequence,@keep()
0018,,9114,MREchoSequence,@keep()
0018,,9115,MRModifierSequence,@keep()
0018,,9117,MRDiffusionSequence,@keep()
0018,,9118,CardiacSynchronizationSequence,@keep()
0018,,9119,MRAveragesSequence,@keep()
0018,,9125,MRFOVGeometrySequence,@keep()
0018,,9126,VolumeLocalizationSequence,@keep()
0018,,9127,SpectroscopyAcquisitionDataColumns,@keep()
0018,,9147,DiffusionAnisotropyType,@keep()
0018,,9151,FrameReferenceDateTime,@hashdate(this,root:PatientID)
0018,,9152,MRMetaboliteMapSequence,@keep()
0018,,9155,ParallelReductionFactorOutOfPlane,@keep()
0018,,9159,SpectroscopyAcquisitionOutOfPlanePhaseSteps,@keep()
0018,,9168,ParallelReductionFactorSecondInPlane,@keep()
0018,,9169,CardiacBeatRejectionTechnique,@keep()
0018,,9170,RespiratoryMotionCompensationTechnique,@keep()
0018,,9171,RespiratorySignalSource,@keep()
0018,,9172,BulkMotionCompensationTechnique,@keep()
0018,,9173,BulkMotionSignalSource,@keep()
0018,,9174,ApplicableSafetyStandardAgency,@keep()
0018,,9175,ApplicableSafetyStandardDescription,@keep()
0018,,9176,OperatingModeSequence,@keep()
0018,,9177,OperatingModeType,@keep()
0018,,9178,OperatingMode,@keep()
0018,,9179,SpecificAbsorptionRateDefinition,@keep()
0018,,9180,GradientOutputType,@keep()
0018,,9181,SpecificAbsorptionRateValue,@keep()
0018,,9182,GradientOutput,@keep()
0018,,9183,FlowCompensationDirection,@keep()
0018,,9184,TaggingDelay,@keep()
0018,,9185,RespiratoryMotionCompensationTechniqueDescription,@keep()
0018,,9186,RespiratorySignalSourceID,@keep()
0018,,9197,MRVelocityEncodingSequence,@keep()
0018,,9198,FirstOrderPhaseCorrection,@keep()
0018,,9199,WaterReferencedPhaseCorrection,@keep()
0018,,9200,MRSpectroscopyAcquisitionType,@keep()
0018,,9214,RespiratoryCyclePosition,@keep()
0018,,9217,VelocityEncodingMaximumValue,@keep()
0018,,9218,TagSpacingSecondDimension,@keep()
0018,,9219,TagAngleSecondAxis,@keep()
0018,,9220,FrameAcquisitionDuration,@keep()
0018,,9226,MRImageFrameTypeSequence,@keep()
0018,,9227,MRSpectroscopyFrameTypeSequence,@keep()
0018,,9231,MRAcquisitionPhaseEncodingStepsInPlane,@keep()
0018,,9232,MRAcquisitionPhaseEncodingStepsOutOfPlane,@keep()
0018,,9234,SpectroscopyAcquisitionPhaseColumns,@keep()
0018,,9236,CardiacCyclePosition,@keep()
0018,,9239,SpecificAbsorptionRateSequence,@keep()
0018,,9240,RFEchoTrainLength,@keep()
0018,,9241,GradientEchoTrainLength,@keep()
0018,,9250,ArterialSpinLabelingContrast,@keep()
0018,,9251,MRArterialSpinLabelingSequence,@keep()
0018,,9252,ASLTechniqueDescription,@keep()
0018,,9253,ASLSlabNumber,@keep()
0018,,9254,ASLSlabThickness,@keep()
0018,,9255,ASLSlabOrientation,@keep()
0018,,9256,ASLMidSlabPosition,@keep()
0018,,9257,ASLContext,@keep()
0018,,9258,ASLPulseTrainDuration,@keep()
0018,,9259,ASLCrusherFlag,@keep()
0018,,9260,ASLSlabSequence,@keep()
0018,,9295,ChemicalShiftMinimumIntegrationLimitInppm,@keep()
0018,,9296,ChemicalShiftMaximumIntegrationLimitInppm,@keep()
0018,,9297,WaterReferenceAcquisition,@keep()
0018,,9298,EchoPeakPosition,@keep()
0018,,9337,ContrastBolusAgentNumber,@keep()
0018,,9338,ContrastBolusIngredientCodeSequence,@keep()
0018,,9340,ContrastAdministrationProfileSequence,@keep()
0018,,9341,ContrastBolusUsageSequence,@keep()
0018,,9342,ContrastBolusAgentAdministered,@keep()
0018,,9343,ContrastBolusAgentDetected,@keep()
0018,,9344,ContrastBolusAgentPhase,@keep()
0018,,9601,DiffusionBMatrixSequence,@keep()
0018,,9602,DiffusionBValueXX,@keep()
0018,,9603,DiffusionBValueXY,@keep()
0018,,9604,DiffusionBValueXZ,@keep()
0018,,9605,DiffusionBValueYY,@keep()
0018,,9606,DiffusionBValueYZ,@keep()
0018,,9607,DiffusionBValueZZ,@keep()
0018,,9621,FunctionalMRSequence,@keep()
0018,,9622,FunctionalSettlingPhaseFramesPresent,@keep()
0018,,9623,FunctionalSyncPulse,@hashdate(this,PatientID)
0018,,106A,SynchronizationTrigger,@keep()
0018,,106C,SynchronizationChannel,@keep()
0018,,106E,TriggerSamplePosition,@keep()
0018,,925A,ASLCrusherFlowLimit,@keep()
0018,,925B,ASLCrusherDescription,@keep()
0018,,925C,ASLBolusCutoffFlag,@keep()
0018,,925D,ASLBolusCutoffTimingSequence,@keep()
0018,,925E,ASLBolusCutoffTechnique,@keep()
0018,,925F,ASLBolusCutoffDelayTime,@keep()
0020,,0010,StudyID,@empty()
0020,,0011,SeriesNumber,@keep()
0020,,0012,AcquisitionNumber,@keep()
0020,,0013,InstanceNumber,@keep()
0020,,0019,ItemNumber,@keep()
0020,,0020,PatientOrientation,@keep()
0020,,0032,ImagePositionPatient,@keep()
0020,,0037,ImageOrientationPatient,@keep()
0020,,0052,FrameOfReferenceUID,@hashuid(@UIDROOT,this)
0020,,0060,Laterality,@keep()
0020,,0062,ImageLaterality,@keep()
0020,,0100,TemporalPositionIdentifier,@keep()
0020,,0105,NumberOfTemporalPositions,@keep()
0020,,0110,TemporalResolution,@keep()
0020,,1002,ImagesInAcquisition,@keep()
0020,,1040,PositionReferenceIndicator,@keep()
0020,,1041,SliceLocation,@keep()
0020,,9056,StackID,@keep()
0020,,9057,InStackPositionNumber,@keep()
0020,,9071,FrameAnatomySequence,@process()
0020,,9072,FrameLaterality,@keep()
0020,,9111,FrameContentSequence,@process()
0020,,9113,PlanePositionSequence,@keep()
0020,,9116,PlaneOrientationSequence,@keep()
0020,,9128,TemporalPositionIndex,@keep()
0020,,9153,NominalCardiacTriggerDelayTime,@keep()
0020,,9154,NominalCardiacTriggerTimePriorToRPeak,@keep()
0020,,9155,ActualCardiacTriggerTimePriorToRPeak,@keep()
0020,,9156,FrameAcquisitionNumber,@keep()
0020,,9157,DimensionIndexValues,@keep()
0020,,9164,DimensionOrganizationUID,@hashuid(@UIDROOT,this)
0020,,9165,DimensionIndexPointer,@keep()
0020,,9167,FunctionalGroupPointer,@keep()
0020,,9221,DimensionOrganizationSequence,@process()
0020,,9222,DimensionIndexSequence,@process()
0020,,9228,ConcatenationFrameOffsetNumber,@keep()
0020,,9238,FunctionalGroupPrivateCreator,@keep()
0020,,9241,NominalPercentageOfCardiacPhase,@keep()
0020,,9245,NominalPercentageOfRespiratoryPhase,@keep()
0020,,9246,StartingRespiratoryAmplitude,@keep()
0020,,9247,StartingRespiratoryPhase,@keep()
0020,,9248,EndingRespiratoryAmplitude,@keep()
0020,,9249,EndingRespiratoryPhase,@keep()
0020,,9250,RespiratoryTriggerType,@keep()
0020,,9251,RRIntervalTimeNominal,@keep()
0020,,9252,ActualCardiacTriggerDelayTime,@keep()
0020,,9253,RespiratorySynchronizationSequence,@keep()
0020,,9254,RespiratoryIntervalTime,@keep()
0020,,9255,NominalRespiratoryTriggerDelayTime,@keep()
0020,,9256,RespiratoryTriggerDelayThreshold,@keep()
0020,,9257,ActualRespiratoryTriggerDelayTime,@keep()
0020,,000D,StudyInstanceUID,@hashuid(@UIDROOT,this)
0020,,000E,SeriesInstanceUID,@hashuid(@UIDROOT,this)
0021,,10FE,Siemens MR SDS Sequence   CTP workaround,@keep()
0021,,11FE,Siemens MR SDI Sequence  CTP workaround,@keep()
0028,,0002,SamplesPerPixel,@keep()
0028,,0003,SamplesPerPixelUsed,@keep()
0028,,0004,PhotometricInterpretation,@keep()
0028,,0006,PlanarConfiguration,@keep()
0028,,0008,NumberOfFrames,@keep()
0028,,0009,FrameIncrementPointer,@keep()
0028,,0010,Rows,@keep()
0028,,0011,Columns,@keep()
0028,,0030,PixelSpacing,@keep()
0028,,0031,ZoomFactor,@keep()
0028,,0032,ZoomCenter,@keep()
0028,,0034,PixelAspectRatio,@keep()
0028,,0100,BitsAllocated,@keep()
0028,,0101,BitsStored,@keep()
0028,,0102,HighBit,@keep()
0028,,0103,PixelRepresentation,@keep()
0028,,0106,SmallestImagePixelValue,@keep()
0028,,0107,LargestImagePixelValue,@keep()
0028,,0108,SmallestPixelValueInSeries,@keep()
0028,,0109,LargestPixelValueInSeries,@keep()
0028,,0120,PixelPaddingValue,@keep()
0028,,0121,PixelPaddingRangeLimit,@keep()
0028,,0122,FloatPixelPaddingValue,@keep()
0028,,0123,DoubleFloatPixelPaddingValue,@keep()
0028,,0124,FloatPixelPaddingRangeLimit,@keep()
0028,,0125,DoubleFloatPixelPaddingRangeLimit,@keep()
0028,,0300,QualityControlImage,@keep()
0028,,0301,BurnedInAnnotation,@keep()
0028,,0302,RecognizableVisualFeatures,@keep()
0028,,0303,LongitudinalTemporalInformationModified,@always()MODIFIED
0028,,1050,WindowCenter,@keep()
0028,,1051,WindowWidth,@keep()
0028,,1052,RescaleIntercept,@keep()
0028,,1053,RescaleSlope,@keep()
0028,,1054,RescaleType,@keep()
0028,,1055,WindowCenterWidthExplanation,@keep()
0028,,1056,VOILUTFunction,@keep()
0028,,1090,RecommendedViewingMode,@keep()
0028,,1101,RedPaletteColorLookupTableDescriptor,@keep()
0028,,1102,GreenPaletteColorLookupTableDescriptor,@keep()
0028,,1103,BluePaletteColorLookupTableDescriptor,@keep()
0028,,1104,AlphaPaletteColorLookupTableDescriptor,@keep()
0028,,1199,PaletteColorLUTUID,@hashuid(@UIDROOT,this)
0028,,1201,RedPaletteColorLookupTableData,@keep()
0028,,1202,GreenPaletteColorLookupTableData,@keep()
0028,,1203,BluePaletteColorLookupTableData,@keep()
0028,,1204,AlphaPaletteColorLookupTableData,@keep()
0028,,2110,LossyImageCompression,@keep()
0028,,2112,LossyImageCompressionRatio,@keep()
0028,,2114,LossyImageCompressionMethod,@keep()
0028,,3000,ModalityLUTSequence,@keep()
0028,,3002,LUTDescriptor,@keep()
0028,,3003,LUTExplanation,@keep()
0028,,3004,ModalityLUTType,@keep()
0028,,3006,LUTData,@keep()
0028,,3010,VOILUTSequence,@keep()
0028,,3110,SoftcopyVOILUTSequence,@process()
0028,,6040,RWavePointer,@keep()
0028,,9001,DataPointRows,@keep()
0028,,9002,DataPointColumns,@keep()
0028,,9003,SignalDomainColumns,@keep()
0028,,9108,DataRepresentation,@keep()
0028,,9110,PixelMeasuresSequence,@keep()
0028,,9132,FrameVOILUTSequence,@keep()
0028,,9145,PixelValueTransformationSequence,@keep()
0028,,9235,SignalDomainRows,@keep()
0028,,000A,FrameDimensionPointer,@keep()
0032,,1060,RequestedProcedureDescription,@keep()
0032,,1064,RequestedProcedureCodeSequence,@process()
0032,,1070,RequestedContrastAgent,@keep()
0040,,0254,PerformedProcedureStepDescription,@keep()
0040,,0555,AcquisitionContextSequence,@process()
0040,,9096,RealWorldValueMappingSequence,@process()
0040,,9224,RealWorldValueIntercept,@keep()
0040,,9225,RealWorldValueSlope,@keep()
0040,,08EA,MeasurementUnitsCodeSequence,@process()
0040,,A010,RelationshipType,@keep()
0040,,A040,ValueType,@keep()
0040,,A043,ConceptNameCodeSequence,@process()
0040,,A050,ContinuityOfContent,@keep()
0040,,A121,Date,@hashdate(this,PatientID)
0040,,A160,TextValue,@keep()
0040,,A168,ConceptCodeSequence,@process()
0040,,A170,PurposeOfReferenceCodeSequence,@process()
0040,,A300,MeasuredValueSequence,@process()
0040,,A30A,NumericValue,@keep()
0040,,A730,ContentSequence,@process()
0054,,0081,NumberOfSlices,@keep()
2050,,0020,PresentationLUTShape,@keep()
5200,,9229,SharedFunctionalGroupsSequence,@process()
5200,,9230,PerFrameFunctionalGroupsSequence,@process()
5600,,0020,SpectroscopyData,@keep()
7FE0,,0010,PixelData,@keep()
7FE1,,1010,Siemens Post-Pixel Raw Data,@keep()
0029,SIEMENS CSA HEADER,08,CSA Image Header Type,@keep()
0029,SIEMENS CSA HEADER,09,CSA Image Header Version,@hashdate(this,PatientID)
0029,SIEMENS CSA HEADER,10,CSA Image Header Info,@keep()
0029,SIEMENS CSA HEADER,18,CSA Series Header Type,@keep()
0029,SIEMENS CSA HEADER,19,CSA Series Header Version,@hashdate(this,PatientID)
0029,SIEMENS CSA HEADER,20,CSA Series Header Info,@keep()
0025,SIEMENS MR EXTRACTED CSA HEADER,01,Extracted MR Header Information Sequence,@keep()
0025,SIEMENS MR EXTRACTED CSA HEADER,02,Extracted MR Header Creator Identification Code,@keep()
0025,SIEMENS MR EXTRACTED CSA HEADER,03,Extracted MR Header Tag,@keep()
0025,SIEMENS MR EXTRACTED CSA HEADER,04,Version,@keep()
0021,SIEMENS MR FMRI,10,FmriAcquisitionDescriptionSequence,@keep()
0021,SIEMENS MR FMRI,11,fMRI Type,@keep()
0021,SIEMENS MR FMRI,12,Block-Design Sequence,@keep()
0021,SIEMENS MR FMRI,13,Number of Conditions,@keep()
0021,SIEMENS MR FMRI,14,Condition Description Sequence,@keep()
0021,SIEMENS MR FMRI,15,Condition Identifier,@keep()
0021,SIEMENS MR FMRI,16,Condition Label,@keep()
0021,SIEMENS MR FMRI,17,Paradigm Size,@keep()
0021,SIEMENS MR FMRI,18,Index Value,@keep()
0021,SIEMENS MR FMRI,19,Condition Value,@keep()
0021,SIEMENS MR FMRI,31,FmriConditionsDataSequence,@keep()
0021,SIEMENS MR FMRI,40,FmriResultSequence,@keep()
0021,SIEMENS MR FMRI,41,Statistical Method,@keep()
0021,SIEMENS MR FMRI,42,GLM Sequence,@keep()
0021,SIEMENS MR FMRI,43,Hemodynamic Response,@keep()
0021,SIEMENS MR FMRI,44,Number of Covariates of No Interest,@keep()
0021,SIEMENS MR FMRI,45,Covariates of No Interest Description,@keep()
0021,SIEMENS MR FMRI,46,Measurement Value Sequence,@keep()
0021,SIEMENS MR FMRI,47,Measurement Index value,@keep()
0021,SIEMENS MR FMRI,48,Used For Evaluation,@keep()
0021,SIEMENS MR FMRI,49,Covariates,@keep()
0021,SIEMENS MR FMRI,4A,Covariates of no interest,@keep()
0021,SIEMENS MR FMRI,4B,Contrast,@keep()
0019,SIEMENS MR HEADER,08,Header Type,@keep()
0019,SIEMENS MR HEADER,09,Header Version,@keep()
0019,SIEMENS MR HEADER,11,FlowCompensation   ,@keep()
0019,SIEMENS MR HEADER,12,TablePositionOrigin,@keep()
0019,SIEMENS MR HEADER,13,ImaAbsTablePosition,@keep()
0019,SIEMENS MR HEADER,14,ImaRelTablePosition,@keep()
0019,SIEMENS MR HEADER,15,SlicePosition_PCS  ,@keep()
0019,SIEMENS MR HEADER,16,TimeAfterStart     ,@keep()
0019,SIEMENS MR HEADER,17,SliceResolution    ,@keep()
0019,SIEMENS MR HEADER,18,RealDwellTime      ,@keep()
0019,SIEMENS MR HEADER,19,VoxelThickness  ,@keep()
0019,SIEMENS MR HEADER,20,VoxelNormalCor  ,@keep()
0019,SIEMENS MR HEADER,21,VoxelNormalTra  ,@keep()
0019,SIEMENS MR HEADER,22,VoxelInPlaneRot ,@keep()
0019,SIEMENS MR HEADER,23,FMRIStimulInfo  ,@keep()
0019,SIEMENS MR HEADER,24,FMRIStimulLevel ,@keep()
0019,SIEMENS MR HEADER,25,RBMoCoTrans     ,@keep()
0019,SIEMENS MR HEADER,26,RBMoCoRot       ,@keep()
0019,SIEMENS MR HEADER,27,B_matrix,@keep()
0019,SIEMENS MR HEADER,28,BandwidthPerPixelPhaseEncode,@keep()
0019,SIEMENS MR HEADER,29,MosaicRefAcqTimes,@keep()
0019,SIEMENS MR HEADER,0A,NumberOfImagesInMosaic,@keep()
0019,SIEMENS MR HEADER,0B,SliceMeasurementDuration,@keep()
0019,SIEMENS MR HEADER,0C,Diffusion b-value,@keep()
0019,SIEMENS MR HEADER,0D,Diffusion Directionality,@keep()
0019,SIEMENS MR HEADER,0E,Diffusion Gradient Direction,@keep()
0019,SIEMENS MR HEADER,0F,GradientMode,@keep()
0019,SIEMENS MR HEADER,1A,VoxelPhaseFOV   ,@keep()
0019,SIEMENS MR HEADER,1B,VoxelReadoutFOV ,@keep()
0019,SIEMENS MR HEADER,1C,VoxelPositionSag,@keep()
0019,SIEMENS MR HEADER,1D,VoxelPositionCor,@keep()
0019,SIEMENS MR HEADER,1E,VoxelPositionTra,@keep()
0019,SIEMENS MR HEADER,1F,VoxelNormalSag  ,@keep()
0019,SIEMENS MR HEADER,2A,AASpineModelVerificationStatus,@keep()
0019,SIEMENS MR HEADER,2B,AASpineModelData              ,@keep()
0051,SIEMENS MR HEADER,08,HeaderType,@keep()
0051,SIEMENS MR HEADER,09,HeaderVersion,@keep()
0051,SIEMENS MR HEADER,11,PATModeText,@keep()
0051,SIEMENS MR HEADER,12,RelTablePosition,@keep()
0051,SIEMENS MR HEADER,13,PositivePCSDirections,@keep()
0051,SIEMENS MR HEADER,14,FlowEncodingDirectionString,@keep()
0051,SIEMENS MR HEADER,15,SequenceMask,@keep()
0051,SIEMENS MR HEADER,16,ImageType,@keep()
0051,SIEMENS MR HEADER,17,SliceThickness,@keep()
0051,SIEMENS MR HEADER,18,ScanOptions1,@keep()
0051,SIEMENS MR HEADER,19,ScanOptions2,@keep()
0051,SIEMENS MR HEADER,0A,MeasDuration,@keep()
0051,SIEMENS MR HEADER,0B,AcquisitionMatrix,@keep()
0051,SIEMENS MR HEADER,0C,FieldOfView,@keep()
0051,SIEMENS MR HEADER,0D,SlicePosition,@keep()
